index,market balance,vault balance,bet count,in play count, total in play, total exposure
90344300,338342221,223657779,19,19,62000000,276342221
90344800,338342221,223657779,19,19,62000000,276342221
90345300,338342221,223657779,19,19,62000000,276342221
90345800,338342221,223657779,19,19,62000000,276342221
90346300,338342221,223657779,19,19,62000000,276342221
90346800,338342221,223657779,19,19,62000000,276342221
90347300,338342221,223657779,19,19,62000000,276342221
90347800,338342221,223657779,19,19,62000000,276342221
90348300,338342221,223657779,19,19,62000000,276342221
90348800,338342221,223657779,19,19,62000000,276342221
90349300,338342221,223657779,19,19,62000000,276342221
90349800,338342221,223657779,19,19,62000000,276342221
90350300,338342221,223657779,19,19,62000000,276342221
90350800,338342221,223657779,19,19,62000000,276342221
90351300,338342221,223657779,19,19,62000000,276342221
90351800,338342221,223657779,19,19,62000000,276342221
90352300,338342221,223657779,19,19,62000000,276342221
90352800,338342221,223657779,19,19,62000000,276342221
90353300,338342221,223657779,19,19,62000000,276342221
90353800,338342221,223657779,19,19,62000000,276342221
90354300,338342221,223657779,19,19,62000000,276342221
90354800,338342221,223657779,19,19,62000000,276342221
90355300,338342221,223657779,19,19,62000000,276342221
90355800,338342221,223657779,19,19,62000000,276342221
90356300,338342221,223657779,19,19,62000000,276342221
90356800,338342221,223657779,19,19,62000000,276342221
90357300,338342221,223657779,19,19,62000000,276342221
90357800,338342221,223657779,19,19,62000000,276342221
90358300,338342221,223657779,19,19,62000000,276342221
90358800,338342221,223657779,19,19,62000000,276342221
90359300,338342221,223657779,19,19,62000000,276342221
90359800,338342221,223657779,19,19,62000000,276342221
90360300,338342221,223657779,19,19,62000000,276342221
90360800,338342221,223657779,19,19,62000000,276342221
90361300,338342221,223657779,19,19,62000000,276342221
90361800,338342221,223657779,19,19,62000000,276342221
90362300,338342221,223657779,19,19,62000000,276342221
90362800,338342221,223657779,19,19,62000000,276342221
90363300,338342221,223657779,19,19,62000000,276342221
90363800,338342221,223657779,19,19,62000000,276342221
90364300,338342221,223657779,19,19,62000000,276342221
90364800,338342221,223657779,19,19,62000000,276342221
90365300,338342221,223657779,19,19,62000000,276342221
90365800,338342221,223657779,19,19,62000000,276342221
90366300,338342221,223657779,19,19,62000000,276342221
90366800,338342221,223657779,19,19,62000000,276342221
90367300,338342221,223657779,19,19,62000000,276342221
90367800,338342221,223657779,19,19,62000000,276342221
90368300,338342221,223657779,19,19,62000000,276342221
90368800,338342221,223657779,19,19,62000000,276342221
90369300,338342221,223657779,19,19,62000000,276342221
90369800,338342221,223657779,19,19,62000000,276342221
90370300,338342221,223657779,19,19,62000000,276342221
90370800,338342221,223657779,19,19,62000000,276342221
90371300,338342221,223657779,19,19,62000000,276342221
90371800,338342221,223657779,19,19,62000000,276342221
90372300,338342221,223657779,19,19,62000000,276342221
90372800,338342221,223657779,19,19,62000000,276342221
90373300,338342221,223657779,19,19,62000000,276342221
90373800,338342221,223657779,19,19,62000000,276342221
90374300,338342221,223657779,19,19,62000000,276342221
90374800,338342221,223657779,19,19,62000000,276342221
90375300,338342221,223657779,19,19,62000000,276342221
90375800,338342221,223657779,19,19,62000000,276342221
90376300,338342221,223657779,19,19,62000000,276342221
90376800,338342221,223657779,19,19,62000000,276342221
90377300,338342221,223657779,19,19,62000000,276342221
90377800,338342221,223657779,19,19,62000000,276342221
90378300,338342221,223657779,19,19,62000000,276342221
90378800,338342221,223657779,19,19,62000000,276342221
90379300,338342221,223657779,19,19,62000000,276342221
90379800,338342221,223657779,19,19,62000000,276342221
90380300,338342221,223657779,19,19,62000000,276342221
90380800,338342221,223657779,19,19,62000000,276342221
90381300,338342221,223657779,19,19,62000000,276342221
90381800,338342221,223657779,19,19,62000000,276342221
90382300,338342221,223657779,19,19,62000000,276342221
90382800,338342221,223657779,19,19,62000000,276342221
90383300,338342221,223657779,19,19,62000000,276342221
90383800,338342221,223657779,19,19,62000000,276342221
